station_id,ym,rain_mm,temp_c,wind_ms
C1S650,2019-03,NA,NA,NA
C1S650,2019-04,NA,NA,NA
C1S650,2019-05,NA,NA,NA
C1S650,2019-06,NA,NA,NA
